"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248" "V249" "V250" "V251" "V252" "V253" "V254" "V255" "V256" "V257" "V258" "V259" "V260" "V261" "V262" "V263" "V264" "V265" "V266" "V267" "V268" "V269" "V270" "V271" "V272" "V273" "V274" "V275" "V276" "V277" "V278" "V279" "V280" "V281" "V282" "V283" "V284" "V285" "V286" "V287" "V288" "V289" "V290" "V291" "V292" "V293" "V294" "V295" "V296" "V297" "V298" "V299" "V300" "V301" "V302" "V303" "V304" "V305" "V306" "V307" "V308" "V309" "V310" "V311" "V312" "V313" "V314" "V315" "V316" "V317" "V318" "V319" "V320" "V321" "V322" "V323" "V324" "V325" "V326" "V327" "V328" "V329" "V330" "V331" "V332" "V333" "V334" "V335" "V336" "V337" "V338" "V339" "V340" "V341" "V342" "V343" "V344" "V345" "V346" "V347" "V348" "V349" "V350" "V351" "V352" "V353" "V354" "V355" "V356" "V357" "V358" "V359" "V360" "V361" "V362" "V363" "V364" "V365" "V366" "V367" "V368" "V369" "V370" "V371" "V372" "V373" "V374" "V375" "V376" "V377" "V378" "V379" "V380" "V381" "V382" "V383" "V384" "V385" "V386" "V387" "V388" "V389" "V390" "V391" "V392" "V393" "V394" "V395" "V396" "V397" "V398" "V399" "V400" "V401" "V402" "V403" "V404" "V405" "V406" "V407" "V408" "V409" "V410" "V411" "V412" "V413" "V414" "V415" "V416" "V417" "V418" "V419" "V420" "V421" "V422" "V423" "V424" "V425" "V426" "V427" "V428" "V429" "V430" "V431" "V432" "V433" "V434" "V435" "V436" "V437" "V438" "V439" "V440" "V441" "V442" "V443" "V444" "V445" "V446" "V447" "V448" "V449" "V450" "V451" "V452" "V453" "V454" "V455" "V456" "V457" "V458" "V459" "V460" "V461" "V462" "V463" "V464" "V465" "V466" "V467" "V468" "V469" "V470" "V471" "V472" "V473" "V474" "V475" "V476" "V477" "V478" "V479" "V480" "V481" "V482" "V483" "V484" "V485" "V486" "V487" "V488" "V489" "V490" "V491" "V492" "V493" "V494" "V495" "V496" "V497" "V498" "V499" "V500"
"cell_591" 1 0 1 0 7 0 66 1 35 0 1 17 0 0 7 9 4 4 5 9 0 7 0 1 2 1 23 0 0 3 8 3 3 0 4 2 0 1 0 1 31 12 0 1 0 1 6 0 1 0 2 0 5 7 13 2 0 0 9 27 3 0 1 2 1 21 4 1 0 1 0 0 2 2 0 2 0 0 8 9 1 1 0 0 4 1 2 0 9 3 7 0 0 2 0 0 0 1 6 0 0 0 0 22 0 0 8 0 1 3 0 0 10 9 4 1 2 2 0 1 1 1 0 4 3 0 0 2 6 1 11 15 1 0 1 0 4 0 6 0 18 2 4 5 8 9 1 5 10 2 6 0 0 1 2 0 0 1 1 0 1 0 0 3 1 1 3 0 4 8 2 1 0 0 0 3 2 1 0 23 2 0 0 8 54 0 2 5 1 2 4 8 2 3 1 2 26 4 3 0 0 227 0 25 3 0 0 0 2 11 2 0 3 4 0 1 1 2 0 11 0 3 0 3 1 6 0 1 0 0 2 6 2 0 2 11 1 1 0 9 2 1 8 6 0 0 3 1 3 9 2 0 1 0 4 1 2 0 0 14 4 0 30 12 9 1 5 0 2 0 0 16 0 0 1 0 0 0 1 0 8 5 0 0 2 0 7 2 4 0 2 1 3 3 3 0 3 2 0 0 1 0 7 3 2 2 0 0 0 0 4 1 3 0 0 0 6 4 0 0 20 1 0 0 1 0 2 2 1 2 0 2 6 0 1 2 5 0 29 2 2 3 0 0 1 0 0 8 0 0 2 2 8 2 2 10 0 2 1 17 3 3 0 1 0 1 4 0 1 0 3 5 1 94 2 4 1 4 1 3 6 0 0 0 2 4 2 0 3 0 0 1 0 5 302 0 16 0 0 2 1 4 0 0 1 2 3 0 0 0 0 0 2 1 1 0 0 2 7 3 0 1 0 0 7 3 24 0 3 1 8 122 1 339 7 0 0 1 13 2 0 4 0 2 1 0 1 1 8 0 6 0 6 1 0 4 3 10 12 14 1 0 0 2 0 0 2 0 1 1 1 1 1 18 1 5 6 1 3 13 0 3 2 22 1 32 0 255 0 0 4 1 2 3 0 3 1 2 3 0
"cell_592" 2 0 3 0 2 0 72 1 1 1 1 7 0 0 0 8 0 5 5 3 0 11 2 3 0 2 20 0 0 3 5 5 2 0 0 0 3 1 0 1 36 2 0 0 4 0 3 0 2 0 0 0 4 3 10 0 0 0 10 17 6 0 0 2 0 14 5 1 0 0 0 1 2 0 0 1 0 0 3 2 6 1 1 1 1 0 3 5 5 0 4 2 0 2 2 0 0 0 5 4 2 0 1 20 0 0 15 0 0 6 1 4 2 8 2 0 11 2 0 0 0 3 1 6 3 0 2 0 12 0 11 0 0 0 0 1 1 1 0 2 20 6 2 0 2 0 2 2 8 1 1 2 3 2 2 0 0 0 1 2 0 0 3 0 3 0 4 0 9 7 0 0 1 1 0 0 0 2 0 27 0 1 0 3 28 0 2 5 2 0 0 1 2 0 6 0 24 2 8 0 3 255 0 25 2 0 1 0 0 8 1 0 1 0 0 1 1 0 2 8 0 1 0 2 1 3 0 6 1 0 1 2 2 5 0 7 4 3 5 6 0 4 11 9 1 0 1 1 1 6 0 1 1 0 6 1 3 0 0 11 1 0 20 4 0 2 1 0 5 0 3 4 0 0 1 1 1 9 1 0 4 11 1 1 0 0 1 1 2 0 1 0 9 2 1 0 6 2 0 0 3 0 2 1 3 1 0 2 0 0 4 5 4 0 0 0 3 2 0 0 8 3 0 1 7 1 1 1 6 0 0 7 2 0 0 0 2 1 7 5 2 0 4 0 2 1 0 3 1 0 1 7 9 0 2 18 0 0 2 6 5 1 0 15 0 3 0 1 0 0 6 7 3 82 2 3 2 5 1 7 10 8 0 0 0 1 2 1 0 0 6 3 0 7 289 1 11 2 0 1 2 0 0 0 1 2 1 6 5 1 1 0 2 0 0 3 0 3 1 0 0 0 0 0 7 2 22 0 2 5 12 120 1 342 0 0 0 2 0 0 1 0 0 0 0 1 7 1 3 0 8 0 2 1 0 4 12 5 7 0 9 0 0 4 0 0 2 0 0 0 0 2 0 20 0 4 3 2 0 10 1 1 5 15 0 0 2 143 0 3 2 3 0 2 0 1 6 2 0 2
"cell_593" 2 0 0 0 6 0 39 1 28 2 1 1 0 1 1 1 1 3 2 10 1 6 3 2 0 1 7 0 0 1 4 1 1 2 4 2 0 2 3 1 12 5 3 0 0 0 3 0 2 0 8 0 2 0 6 0 0 0 8 17 15 0 1 2 0 45 0 1 1 0 0 0 3 1 0 1 0 0 3 8 0 3 1 0 2 0 0 3 5 1 9 1 0 0 0 0 0 1 3 0 6 0 0 14 0 0 2 0 0 1 5 3 4 10 5 0 7 5 0 0 1 3 1 1 1 0 2 0 5 0 1 3 0 0 0 0 1 0 0 1 18 1 5 3 0 0 3 5 6 0 2 0 0 10 3 0 1 10 0 3 0 0 1 1 0 5 0 0 4 7 1 0 0 1 0 0 0 0 1 19 0 0 0 4 15 0 0 3 4 0 0 1 9 1 1 1 27 0 2 0 2 189 2 38 0 0 0 0 1 9 1 0 4 0 0 0 0 2 2 5 0 0 0 1 0 5 0 2 1 0 0 1 7 1 0 4 0 2 1 9 2 6 2 5 0 1 0 0 0 5 1 0 3 0 0 2 0 0 0 12 1 0 19 4 1 2 1 3 5 0 1 6 1 2 5 1 0 2 0 0 5 20 0 0 0 0 2 0 0 3 1 1 1 1 0 0 2 0 0 0 0 0 4 5 4 2 0 0 0 0 5 2 5 0 5 0 4 4 0 0 18 4 0 2 0 0 0 3 9 2 3 3 0 0 0 1 3 1 12 3 1 1 2 0 0 0 0 5 0 0 0 4 1 0 0 21 1 3 0 8 8 1 0 6 0 0 2 0 0 0 1 3 0 38 0 0 0 0 0 10 10 0 1 3 2 3 2 1 8 0 1 1 1 7 300 1 13 0 0 2 2 2 4 0 1 0 4 1 0 1 0 0 0 2 2 5 0 0 3 1 0 0 1 0 7 0 19 1 1 2 6 115 0 299 4 0 1 12 3 2 0 4 0 1 1 4 0 1 1 0 5 0 3 8 0 2 10 3 15 0 2 0 0 7 0 1 1 0 0 1 0 6 0 20 0 3 3 2 0 1 6 1 2 12 0 0 1 87 0 1 0 5 0 0 1 1 5 3 0 5
"cell_594" 0 0 1 0 1 0 59 2 56 0 0 0 0 2 0 2 0 1 4 9 0 13 2 3 6 0 16 0 0 2 8 3 2 0 6 0 0 3 2 0 31 11 1 0 1 1 1 0 1 0 1 0 2 1 7 2 0 1 3 21 4 0 2 1 2 11 2 2 0 0 1 0 2 0 0 0 0 1 8 7 2 10 0 0 1 0 3 4 9 0 7 0 1 6 0 1 0 3 0 4 0 0 0 32 0 0 5 0 0 6 2 0 7 21 7 1 1 5 0 0 1 0 5 5 2 1 1 0 11 3 22 19 5 3 0 0 2 0 2 0 31 2 7 4 1 0 5 8 4 0 4 1 5 12 1 2 0 2 1 1 3 0 7 1 1 1 6 0 1 0 0 0 0 1 1 0 0 0 0 39 1 0 0 8 6 0 0 0 3 1 1 5 4 2 0 5 35 2 3 1 1 165 0 19 0 0 2 0 8 13 1 0 1 4 12 0 1 3 0 31 1 1 0 6 0 0 0 1 4 1 0 5 1 2 0 6 0 1 0 9 0 7 8 0 0 2 3 0 0 3 1 3 1 1 2 2 1 0 0 8 2 0 20 5 1 11 4 0 3 2 2 14 4 3 4 0 0 8 3 1 4 15 5 0 4 0 2 0 6 6 2 0 7 0 1 0 2 0 0 0 0 0 7 1 3 6 1 0 2 0 6 5 2 0 2 0 1 0 2 0 8 7 0 2 3 0 0 0 11 3 0 5 0 0 0 2 1 0 19 2 3 0 0 0 3 0 0 1 2 0 0 3 14 3 2 35 0 0 4 21 6 1 0 5 0 0 0 2 0 0 7 1 0 81 0 0 0 1 0 7 8 6 0 1 0 4 2 4 8 0 1 2 0 4 414 1 2 1 1 0 0 2 8 0 11 2 2 8 4 2 0 0 0 1 2 6 0 0 2 0 0 1 0 2 20 18 15 0 0 8 18 148 0 250 2 0 1 1 13 1 0 5 0 1 1 4 2 1 0 0 7 1 1 2 0 4 10 1 1 0 7 10 3 0 1 0 0 3 0 1 3 1 0 21 0 7 8 0 0 0 0 1 2 18 1 18 0 411 0 4 2 0 6 2 0 0 12 4 2 1
"cell_595" 4 0 2 0 3 0 52 0 44 0 1 7 3 0 5 2 0 0 1 6 0 21 2 8 4 4 7 0 0 0 26 0 0 0 4 0 2 0 1 2 6 11 1 0 4 0 0 0 0 2 0 0 7 2 9 2 0 0 12 24 6 0 0 7 1 34 2 2 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 4 0 0 2 5 0 17 0 1 0 0 0 0 0 3 2 0 1 0 57 0 0 13 0 0 2 0 4 2 13 1 0 4 7 0 0 1 4 0 3 3 0 1 1 12 1 3 7 2 0 3 3 3 0 3 0 13 2 9 0 5 4 3 3 57 0 0 1 0 8 2 0 1 15 0 0 1 0 1 0 0 2 9 1 10 3 0 1 0 0 1 2 0 3 0 69 2 0 0 3 98 0 4 2 0 0 0 8 2 2 1 0 32 6 0 0 2 251 0 13 0 0 0 0 0 25 1 2 2 0 11 0 0 4 0 391 0 9 0 6 0 8 0 4 2 2 1 3 0 4 0 13 0 5 0 16 4 9 1 12 0 0 1 8 1 9 0 0 4 0 1 2 0 0 0 1 1 0 20 7 6 7 1 0 1 0 2 9 0 0 2 2 0 0 2 0 1 4 3 2 1 0 15 0 0 13 2 0 6 1 3 0 9 0 0 0 0 0 33 5 10 0 1 2 0 0 1 10 6 0 1 0 1 5 0 0 34 3 1 1 2 0 0 1 15 0 0 3 4 0 0 1 3 1 40 0 4 5 0 5 0 0 0 1 1 0 2 6 5 1 9 56 3 2 1 7 9 4 0 1 0 1 1 0 3 0 0 2 3 27 7 9 0 0 0 10 10 1 0 0 0 6 4 0 0 0 0 3 0 8 400 2 1 3 1 4 0 4 6 0 7 1 1 2 4 1 0 0 5 4 23 5 0 0 10 3 0 4 0 1 4 0 65 0 2 5 10 53 0 648 0 0 1 9 6 1 0 1 0 0 0 1 2 5 2 0 17 0 2 0 0 0 28 4 5 0 18 0 0 0 0 0 1 0 1 2 1 2 5 25 0 5 5 1 0 13 1 0 2 19 1 0 0 114 0 6 0 3 1 9 2 2 0 2 0 0
"cell_596" 0 0 7 1 0 0 67 3 58 0 0 3 0 1 3 5 3 2 4 4 0 6 1 6 9 1 7 0 1 0 11 5 0 0 0 0 6 1 7 0 31 13 1 0 3 1 5 0 0 0 7 0 7 6 8 0 0 0 11 24 27 0 2 3 2 54 0 3 0 0 3 0 1 2 0 15 0 0 3 2 3 0 1 1 12 1 0 2 7 0 13 1 1 0 1 1 0 4 1 0 0 2 2 43 0 0 8 0 0 2 5 6 1 19 6 0 13 6 0 2 0 2 3 2 4 0 1 2 15 1 5 0 0 0 0 3 1 0 3 1 26 1 6 4 1 0 0 5 17 1 0 3 6 4 6 2 0 2 0 0 0 0 4 3 1 0 7 2 2 8 0 0 0 6 0 0 1 3 0 64 0 0 0 5 42 0 0 0 0 0 0 17 0 3 1 1 22 2 1 0 1 198 3 22 0 0 4 0 0 15 3 0 2 2 0 0 1 0 12 47 0 5 0 10 3 2 0 5 2 1 0 1 2 5 0 4 0 0 0 17 4 5 6 8 0 1 2 6 3 8 0 4 1 0 2 8 2 2 0 12 2 0 13 8 4 3 2 0 0 2 0 1 0 6 2 0 0 10 1 0 2 15 0 1 0 0 4 0 0 1 0 0 8 5 1 0 7 0 0 0 0 0 4 0 5 0 1 0 0 1 11 2 1 0 0 0 2 1 0 0 25 0 0 0 2 0 0 4 9 2 3 7 3 1 3 1 3 1 22 3 0 4 1 0 0 0 0 1 2 0 0 0 3 0 0 33 0 15 2 10 14 0 0 4 0 0 2 4 4 0 0 0 1 62 5 4 0 0 0 9 15 0 4 1 1 2 2 0 2 0 3 3 0 17 545 0 1 0 0 4 0 1 6 0 0 3 0 2 0 2 1 0 2 2 47 0 0 0 9 0 0 2 0 0 18 2 10 1 6 7 10 100 2 243 0 1 1 14 7 0 0 0 0 0 0 1 1 3 0 0 6 1 12 1 0 5 12 7 5 0 2 0 0 0 1 0 3 0 0 1 0 3 1 17 0 9 11 8 0 1 1 2 1 4 1 0 1 161 0 0 0 3 6 0 0 4 2 4 0 7
"cell_597" 0 0 1 0 2 0 53 2 9 0 4 6 2 0 0 4 2 0 5 7 0 9 1 2 3 2 20 0 0 0 2 11 1 1 4 0 1 0 2 3 18 6 0 0 3 0 0 5 1 4 4 0 3 2 9 0 0 0 6 20 4 0 0 0 0 39 5 2 1 0 1 0 0 1 0 2 0 1 5 11 7 6 0 0 4 4 1 3 7 0 2 3 1 4 0 0 0 6 0 0 1 0 0 24 0 0 4 0 0 1 0 0 7 7 1 0 1 3 0 0 1 2 4 8 3 0 1 3 8 1 6 0 8 0 0 0 3 0 1 2 10 1 2 3 0 6 2 4 2 1 3 2 0 5 1 0 0 1 0 0 2 0 1 4 0 0 0 0 3 0 0 0 0 1 1 0 0 1 0 33 0 1 0 5 24 0 0 1 2 0 3 3 3 3 2 0 19 0 0 2 1 201 0 24 0 0 8 0 5 19 3 0 5 2 6 4 0 2 0 26 1 1 1 2 0 5 0 0 1 0 0 3 3 3 0 6 6 2 2 7 0 1 15 6 0 7 0 0 2 8 0 1 0 0 5 1 3 0 0 13 0 0 23 6 4 6 4 0 2 0 0 16 2 0 2 0 0 11 1 0 7 4 0 0 3 0 3 4 0 4 1 1 0 5 0 0 9 1 0 0 0 0 2 2 5 1 0 0 0 0 8 5 4 0 4 1 3 2 0 0 8 5 0 3 3 0 1 1 0 1 0 5 0 1 0 3 0 1 21 3 0 0 1 0 0 0 0 8 2 0 1 2 12 0 2 18 1 2 4 5 1 1 0 1 0 2 0 1 0 0 5 6 1 79 0 0 0 5 0 12 5 0 1 4 4 3 5 0 7 1 2 2 1 7 317 3 21 3 2 0 2 1 2 2 0 0 1 2 1 0 0 1 2 4 1 3 1 0 4 0 0 1 0 0 10 4 7 2 1 3 11 113 0 371 0 1 0 1 8 1 0 4 0 1 0 1 0 0 2 0 4 0 0 5 0 1 7 4 1 0 0 0 1 3 0 2 0 1 0 2 0 0 0 19 0 5 6 0 0 0 0 1 4 21 1 0 0 135 0 2 0 2 3 3 3 4 4 2 7 0
"cell_598" 0 1 0 0 1 0 63 5 15 1 1 4 0 0 0 7 0 1 4 4 0 16 5 4 1 1 14 0 0 3 9 3 1 0 3 0 0 0 1 0 9 16 1 0 1 0 2 0 6 1 0 0 2 2 10 0 0 0 14 20 6 0 0 0 1 94 1 6 0 0 0 0 1 1 0 0 0 0 8 4 2 2 0 0 0 3 1 1 9 1 9 0 2 0 0 0 3 3 6 0 5 1 0 18 0 0 6 0 1 4 3 2 6 10 4 1 6 2 1 0 1 5 2 8 5 0 5 0 13 0 18 2 1 0 7 2 1 0 1 2 16 2 4 8 3 0 6 5 16 0 5 4 0 0 6 0 1 1 0 0 1 0 1 3 1 0 4 2 10 1 1 0 0 1 0 0 5 5 0 20 0 2 0 10 23 1 0 2 0 0 4 3 2 1 3 4 23 4 0 0 0 245 0 36 0 0 5 0 4 20 0 1 3 2 13 0 1 5 3 26 0 2 0 1 1 10 0 2 4 0 0 5 1 3 0 9 0 2 0 4 2 5 0 10 1 2 0 0 1 4 16 0 1 0 8 1 3 0 0 9 2 0 24 10 6 3 2 0 1 0 0 14 0 2 2 0 0 0 4 0 7 5 4 0 0 0 0 0 1 2 2 0 9 0 5 1 8 1 0 0 0 1 5 0 9 4 0 0 0 0 6 0 2 1 4 0 0 2 0 0 32 1 0 0 1 0 1 1 2 3 1 1 0 1 4 6 1 5 23 2 0 0 5 0 3 0 0 4 0 0 2 1 14 0 4 19 3 0 4 8 5 3 0 11 0 0 0 1 0 0 0 5 3 88 0 3 0 1 3 4 6 1 0 2 0 2 0 0 3 1 2 5 1 5 349 2 17 6 0 1 0 0 0 0 0 0 0 1 4 1 0 0 0 3 4 0 0 3 7 0 1 0 0 1 9 3 24 5 0 2 13 118 1 464 0 0 0 23 31 0 0 3 0 0 0 1 0 4 0 0 2 0 0 6 0 3 16 16 13 4 4 0 1 1 0 2 2 0 0 4 0 1 2 20 0 9 6 2 0 0 3 1 2 16 1 0 1 75 0 6 7 4 3 0 0 2 10 5 2 1
"cell_599" 0 1 2 0 6 0 102 5 75 0 1 2 1 0 1 2 0 2 4 4 0 27 3 13 6 1 5 0 0 2 4 1 2 0 4 0 0 0 6 1 3 5 1 0 8 0 8 4 2 2 1 0 14 4 1 0 0 1 25 32 7 0 1 1 0 89 3 2 0 0 1 0 3 0 0 12 0 0 13 6 3 8 9 1 6 5 2 1 9 0 17 3 0 1 0 0 0 3 8 0 0 1 2 26 0 0 8 0 0 1 5 6 8 38 2 2 5 1 0 1 2 0 0 2 22 0 2 0 13 1 5 28 1 0 0 2 0 0 26 4 22 10 15 2 0 0 0 5 10 1 0 6 1 10 4 0 0 2 0 0 2 0 2 1 0 0 2 0 5 1 0 0 1 1 1 0 1 1 1 183 0 0 0 8 49 0 3 6 11 0 0 6 1 1 1 0 18 1 4 0 2 114 3 12 0 0 2 0 2 25 1 0 1 1 4 1 1 2 5 74 0 1 0 10 0 0 0 2 0 1 2 1 0 13 0 3 0 4 2 6 3 1 8 4 0 1 3 9 11 21 0 0 1 0 0 1 2 0 0 13 11 0 27 11 8 3 1 0 2 0 3 15 0 3 1 4 0 4 0 0 7 0 0 0 0 0 0 0 0 3 7 1 13 4 4 0 3 0 0 0 0 0 9 0 2 2 4 0 0 0 4 7 5 0 2 0 0 2 0 0 31 2 1 1 8 1 0 0 20 1 1 0 0 1 0 3 0 3 28 2 8 13 2 0 0 0 0 2 0 0 1 6 1 1 2 30 6 6 1 0 11 0 0 7 0 4 0 2 0 0 3 3 2 58 3 1 0 0 0 12 21 2 1 1 7 2 1 0 1 0 3 8 0 13 170 0 7 5 0 1 7 0 5 2 4 1 0 2 2 1 0 0 2 3 8 3 3 0 16 0 0 0 0 0 23 0 13 0 0 3 25 108 1 128 1 0 0 9 11 0 1 0 4 2 0 1 3 7 0 0 2 1 16 1 0 2 17 15 0 0 2 0 0 8 0 0 10 0 2 5 0 1 0 24 0 5 10 7 0 22 1 0 5 15 0 0 1 309 0 13 1 9 1 3 0 2 6 1 0 1
"cell_600" 0 0 0 0 0 0 56 3 30 2 1 3 0 0 0 11 8 3 4 7 0 14 2 2 2 3 8 0 0 0 8 2 1 0 7 1 0 2 0 0 10 2 0 0 1 0 0 0 1 0 1 0 1 5 16 0 0 0 10 27 14 0 1 6 0 50 2 1 2 0 1 0 1 2 0 0 0 0 5 5 1 5 1 0 5 2 0 0 5 0 8 2 3 2 0 0 0 0 1 6 0 1 0 13 0 1 3 0 0 1 1 2 3 7 0 1 2 3 2 0 3 5 0 4 5 0 2 1 6 0 2 2 0 0 1 2 0 0 2 0 10 2 4 1 3 0 0 3 4 0 5 0 2 11 4 0 0 0 1 0 1 0 3 0 0 0 5 0 4 6 0 0 1 0 0 0 0 3 0 36 4 0 0 6 24 4 0 1 0 0 6 8 0 1 2 1 12 1 0 1 5 216 0 28 1 0 2 0 0 8 1 1 3 1 0 2 0 0 0 13 1 1 0 6 0 0 0 0 0 0 0 5 0 4 0 3 0 0 2 6 0 3 18 16 0 1 0 1 2 7 0 0 2 0 4 1 4 0 0 5 4 0 14 8 1 1 1 0 1 0 0 11 0 4 1 3 0 8 0 0 6 2 7 3 1 0 1 0 0 2 3 1 0 1 0 1 4 2 0 0 0 0 4 0 5 0 0 0 2 0 2 0 2 0 8 0 6 0 1 0 19 1 0 0 10 0 0 2 5 3 0 3 0 0 0 1 6 5 2 6 2 0 1 0 1 0 0 5 1 0 0 0 18 1 1 18 0 3 1 11 1 0 0 6 0 0 1 2 0 0 1 4 0 92 0 1 0 2 4 6 9 3 3 2 0 3 1 0 6 1 2 1 0 9 256 2 18 0 0 2 0 0 3 0 11 0 2 6 0 3 0 0 1 1 2 2 2 0 12 4 1 1 0 0 6 5 13 1 1 4 17 113 0 276 3 0 3 13 3 0 2 4 0 0 0 0 1 4 3 0 10 0 2 1 0 1 1 2 0 7 1 0 0 6 0 0 4 0 0 0 0 1 0 21 0 4 7 0 0 0 2 1 4 8 2 16 2 59 0 0 2 0 4 3 0 2 7 4 0 3
"cell_601" 0 0 0 0 0 0 54 4 161 1 6 0 0 1 0 0 1 0 0 14 0 66 5 4 1 1 4 0 0 0 18 0 0 1 2 0 0 1 1 0 41 1 0 0 0 0 1 0 0 10 26 0 20 2 3 1 0 0 7 10 4 0 1 8 0 41 1 1 0 0 2 0 0 3 0 0 0 0 1 3 0 1 0 0 2 3 0 1 5 0 7 0 0 0 0 0 0 0 2 0 0 1 0 18 0 0 9 0 0 1 0 0 2 1 1 3 17 4 0 0 0 6 0 2 6 0 0 0 3 1 1 1 7 0 1 0 0 0 2 0 193 1 4 38 4 0 5 2 11 0 7 0 1 5 1 0 0 52 2 0 2 0 0 3 0 0 6 2 17 5 0 0 0 0 0 2 1 2 0 392 0 0 0 0 27 0 0 1 0 2 1 5 0 6 0 0 1 1 0 1 2 42 1 6 0 0 2 0 0 21 0 8 1 0 3 0 1 0 0 210 0 1 0 1 0 6 0 0 0 0 0 2 0 1 0 2 0 0 3 8 1 0 3 0 0 0 5 0 0 9 0 0 3 0 3 2 0 0 0 4 1 0 12 0 0 6 0 0 0 0 0 7 1 7 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 2 2 0 0 0 2 0 2 0 1 0 5 0 14 0 0 0 0 0 0 0 7 0 2 0 3 0 1 0 0 0 22 0 0 1 0 0 0 0 0 0 2 3 1 0 0 0 0 1 73 3 1 0 0 0 3 0 0 0 4 0 0 4 0 0 5 16 0 4 2 1 3 0 0 3 0 0 0 0 9 0 0 2 17 11 0 8 0 2 0 8 14 0 2 2 0 2 3 0 1 5 1 0 0 2 134 0 0 0 0 0 1 2 5 0 0 0 0 8 6 0 0 0 0 1 0 0 0 0 7 1 1 0 0 2 1 1 205 0 3 1 8 13 0 459 0 0 0 5 0 5 2 1 0 0 0 4 2 3 0 0 9 0 1 2 0 2 1 11 0 0 2 0 0 2 0 2 2 0 1 0 0 3 1 22 1 2 7 0 0 0 0 0 1 2 0 1 1 32 0 0 1 2 13 5 0 2 1 1 0 0
